#,Capability ID,Capability,WPS Office (cn.wps.moffice_eng),通义千问 (com.aliyun.tongyi),高德地图 (com.autonavi.minimap),Gemini (com.google.android.apps.bard),微信 (com.tencent.mm),小红书 (com.xingin.xhs),携程旅行 (ctrip.android.view)
1,foundation_llm,"Foundation LLM capability — QA, rewriting, translation, summarization, retrieval, outline generation, extraction, filtering, sorting, comparison, dedup, conflict detection, numeric computation & format conversion, and public-web lookups (GitHub repos/issues, securities/finance, weather)",,✓,,✓,,,
2,poi_nearby_search,POI / nearby search,,✓,✓,✓,✓,✓,✓
3,route_planning,Route planning (incl. distance & time estimates),,✓,✓,✓,,,
4,live_navigation,Turn-by-turn live navigation,,✓,✓,,,,
5,hail_ride,Ride hailing,,✓,✓,,,,
6,plan_trip,Travel itinerary planning (= POI + route + ticketing + hotel + attractions),,,,,,,✓
7,book_train,Train tickets — search / book,,✓,,,,,✓
8,book_flight,Flights — search / book,,✓,,,,,✓
9,book_hotel,Hotels — search / book,,✓,,,,,✓
10,book_movie_event,Movie / event tickets — search / purchase,,✓,,,,,
11,search_product,Product search & recommendation,,✓,,,,,
12,purchase_guidance,Purchase guidance / add-to-cart / pre-checkout preparation,,,,,,,
13,order_food,Food ordering,,✓,,,,,
14,track_order,Order / logistics / after-sales status,,✓,,,,,
15,read_calendar,Calendar — read (incl. statistics & time-range queries),,,,✓,,,
16,write_calendar,Calendar — write (create / modify / delete),,,,✓,,,
17,set_alarm_reminder,Alarm / reminder setting,,,,✓,,,
18,read_sms,SMS — read,,,,✓,,,
19,send_sms,SMS — send,,,,✓,,,
20,read_email,Email — read (search / read),,,,✓,,,
21,write_email,Email — write (reply / send / attachments),,,,✓,,,
22,lookup_contacts,Contacts lookup & natural-name resolution,,,,,,,
23,phone_call,Phone call,,,,,,,
24,find_file,File find & filter,,,,,,,
25,operate_file,File operations — copy / move / rename / delete,,,,,,,
26,write_text_file,Text file creation & writing,,,,,,,
27,generate_document,Document generation,✓,,,✓,,,
28,generate_slides,Slides generation,✓,,,✓,,,
29,find_gallery_image,Gallery image search,,,,✓,,,
30,read_memo,Notes / memos — read,,,,✓,,,
31,write_memo,Notes / memos — write (create / edit),,,,✓,,,
32,read_task,Tasks — read,,,,✓,,,
33,write_task,Tasks — write,,,,✓,,,
34,search_vertical_content,App-specific vertical content search,,,,,✓,✓,
35,operate_system_settings,System settings operations,,,,✓,,,
